COD_UBIGEO,NOMB_DISTRITO,COD_PROVINCIA
090718,TINTAY PUNCU,0907
090719,QUICHUAS,0907
090720,ANDAYMARCA,0907
090721,ROBLE,0907
090722,PICHOS,0907
090723,SANTIAGO DE TUCUMA,0907
090724,LAMBRAS,0907
090725,COCHABAMBA,0907
100101,HUANUCO,1001
100102,AMARILIS,1001
100103,CHINCHAO,1001
100104,CHURUBAMBA,1001
100105,MARGOS,1001
100106,QUISQUI,1001
100107,SAN FRANCISCO DE CAYRAN,1001
100108,SAN PEDRO DE CHAULAN,1001
100109,SANTA MARIA DEL VALLE,1001
100110,YARUMAYO,1001
100111,PILLCO MARCA,1001
100112,YACUS,1001
100113,SAN PABLO DE PILLAO,1001
100201,AMBO,1002
100202,CAYNA,1002
100203,COLPAS,1002
100204,CONCHAMARCA,1002
100205,HUACAR,1002
100206,SAN FRANCISCO,1002
100207,SAN RAFAEL,1002
100208,TOMAY KICHWA,1002
100301,LA UNION,1003
100307,CHUQUIS,1003
100311,MARIAS,1003
100313,PACHAS,1003
100316,QUIVILLA,1003
100317,RIPAN,1003
100321,SHUNQUI,1003
100322,SILLAPATA,1003
100323,YANAS,1003
100401,HUACAYBAMBA,1004
100402,CANCHABAMBA,1004
100403,COCHABAMBA,1004
